600694-600120,0.759233,1.416966,0.020632,:,1.586358,0.049092,3.855032,
000671-000540,0.830137,0.795686,0.023882,:,1.585967,0.041610,4.879629,
000758-000540,0.768353,1.065447,0.028793,:,1.631916,0.048663,6.157608,
600674-000027,0.937980,0.835726,0.011892,:,1.662259,0.049323,4.958400,
000963-000028,0.700620,1.170711,0.027392,:,1.610213,0.070612,3.419057,
600498-600410,0.860105,1.125349,0.029956,:,1.652366,0.061566,3.889904,
601168-000895,1.001482,-2.054919,0.022591,:,1.648871,0.052670,4.517679,
600594-600535,0.757208,0.605786,0.026393,:,1.584724,0.052169,3.138300,
000983-000895,0.816598,-1.052501,0.023071,:,1.632567,0.072910,4.094987,
600502-600116,0.767867,0.335330,0.022625,:,1.548347,0.051011,3.959990,
